Region,Latitude,Longitude,Date,Year,Month,Month_Name,Season,Temperature,Precipitation
Alaotra-Mangoro,-17.4333,48.5833,2009-10-01,2009,10,October,Dry,19.34,1.99
Alaotra-Mangoro,-17.4333,48.5833,2009-11-01,2009,11,November,Rainy,21.29,2.97
Alaotra-Mangoro,-17.4333,48.5833,2009-12-01,2009,12,December,Rainy,22.23,6.06
Alaotra-Mangoro,-17.4333,48.5833,2010-01-01,2010,1,January,Rainy,22.63,15.17
Alaotra-Mangoro,-17.4333,48.5833,2010-02-01,2010,2,February,Rainy,22.35,5.87
Alaotra-Mangoro,-17.4333,48.5833,2010-03-01,2010,3,March,Rainy,22.18,10.7
Alaotra-Mangoro,-17.4333,48.5833,2010-04-01,2010,4,April,Rainy,20.59,2.42
Alaotra-Mangoro,-17.4333,48.5833,2010-05-01,2010,5,May,Dry,19.82,1.81
Alaotra-Mangoro,-17.4333,48.5833,2010-06-01,2010,6,June,Dry,17.83,2.73
Alaotra-Mangoro,-17.4333,48.5833,2010-07-01,2010,7,July,Dry,15.81,3.72
Alaotra-Mangoro,-17.4333,48.5833,2010-08-01,2010,8,August,Dry,15.99,2.74
Alaotra-Mangoro,-17.4333,48.5833,2010-09-01,2010,9,September,Dry,17.77,0.53
Alaotra-Mangoro,-17.4333,48.5833,2010-10-01,2010,10,October,Dry,19.87,0.98
Alaotra-Mangoro,-17.4333,48.5833,2010-11-01,2010,11,November,Rainy,20.36,2.39
Alaotra-Mangoro,-17.4333,48.5833,2010-12-01,2010,12,December,Rainy,22.01,4.77
Alaotra-Mangoro,-17.4333,48.5833,2011-01-01,2011,1,January,Rainy,21.97,9.07
Alaotra-Mangoro,-17.4333,48.5833,2011-02-01,2011,2,February,Rainy,22.47,13.33
Alaotra-Mangoro,-17.4333,48.5833,2011-03-01,2011,3,March,Rainy,21.33,8.11
Alaotra-Mangoro,-17.4333,48.5833,2011-04-01,2011,4,April,Rainy,21.28,3.03
Alaotra-Mangoro,-17.4333,48.5833,2011-05-01,2011,5,May,Dry,19.29,2.18
Alaotra-Mangoro,-17.4333,48.5833,2011-06-01,2011,6,June,Dry,18.03,1.43
Alaotra-Mangoro,-17.4333,48.5833,2011-07-01,2011,7,July,Dry,16.8,1.23
Alaotra-Mangoro,-17.4333,48.5833,2011-08-01,2011,8,August,Dry,17.29,1.66
Alaotra-Mangoro,-17.4333,48.5833,2011-09-01,2011,9,September,Dry,17.54,1.46
Alaotra-Mangoro,-17.4333,48.5833,2011-10-01,2011,10,October,Dry,20.11,2.31
Alaotra-Mangoro,-17.4333,48.5833,2011-11-01,2011,11,November,Rainy,21.44,2.66
Alaotra-Mangoro,-17.4333,48.5833,2011-12-01,2011,12,December,Rainy,23.04,4.22
Alaotra-Mangoro,-17.4333,48.5833,2012-01-01,2012,1,January,Rainy,22.05,10.29
Alaotra-Mangoro,-17.4333,48.5833,2012-02-01,2012,2,February,Rainy,22.47,14.92
Alaotra-Mangoro,-17.4333,48.5833,2012-03-01,2012,3,March,Rainy,21.06,8.21
Alaotra-Mangoro,-17.4333,48.5833,2012-04-01,2012,4,April,Rainy,20.79,7.53
Alaotra-Mangoro,-17.4333,48.5833,2012-05-01,2012,5,May,Dry,19.06,3.56
Alaotra-Mangoro,-17.4333,48.5833,2012-06-01,2012,6,June,Dry,17.04,3.91
Alaotra-Mangoro,-17.4333,48.5833,2012-07-01,2012,7,July,Dry,16.08,2.73
Alaotra-Mangoro,-17.4333,48.5833,2012-08-01,2012,8,August,Dry,16.47,1.17
Alaotra-Mangoro,-17.4333,48.5833,2012-09-01,2012,9,September,Dry,17.12,1.6
Alaotra-Mangoro,-17.4333,48.5833,2012-10-01,2012,10,October,Dry,18.91,2.34
Alaotra-Mangoro,-17.4333,48.5833,2012-11-01,2012,11,November,Rainy,20.99,3.68
Alaotra-Mangoro,-17.4333,48.5833,2012-12-01,2012,12,December,Rainy,21.7,5.77
Alaotra-Mangoro,-17.4333,48.5833,2013-01-01,2013,1,January,Rainy,22.38,10.45
Alaotra-Mangoro,-17.4333,48.5833,2013-02-01,2013,2,February,Rainy,22.34,9.92
Alaotra-Mangoro,-17.4333,48.5833,2013-03-01,2013,3,March,Rainy,21.33,6.46
Alaotra-Mangoro,-17.4333,48.5833,2013-04-01,2013,4,April,Rainy,20.14,3.19
Alaotra-Mangoro,-17.4333,48.5833,2013-05-01,2013,5,May,Dry,18.91,2.32
Alaotra-Mangoro,-17.4333,48.5833,2013-06-01,2013,6,June,Dry,16.01,1.52
Alaotra-Mangoro,-17.4333,48.5833,2013-07-01,2013,7,July,Dry,15.42,1.62
Alaotra-Mangoro,-17.4333,48.5833,2013-08-01,2013,8,August,Dry,15.81,1.6
Alaotra-Mangoro,-17.4333,48.5833,2013-09-01,2013,9,September,Dry,17.72,1.06
Alaotra-Mangoro,-17.4333,48.5833,2013-10-01,2013,10,October,Dry,19.6,3.41
Alaotra-Mangoro,-17.4333,48.5833,2013-11-01,2013,11,November,Rainy,21.83,3.19
Alaotra-Mangoro,-17.4333,48.5833,2013-12-01,2013,12,December,Rainy,22.08,10.2
Alaotra-Mangoro,-17.4333,48.5833,2014-01-01,2014,1,January,Rainy,22.12,12.4
Alaotra-Mangoro,-17.4333,48.5833,2014-02-01,2014,2,February,Rainy,22.06,11.63
Alaotra-Mangoro,-17.4333,48.5833,2014-03-01,2014,3,March,Rainy,21.26,7.1
Alaotra-Mangoro,-17.4333,48.5833,2014-04-01,2014,4,April,Rainy,19.98,2.31
Alaotra-Mangoro,-17.4333,48.5833,2014-05-01,2014,5,May,Dry,18.58,2.09
Alaotra-Mangoro,-17.4333,48.5833,2014-06-01,2014,6,June,Dry,16.84,3.2
Alaotra-Mangoro,-17.4333,48.5833,2014-07-01,2014,7,July,Dry,16.38,5.39
Alaotra-Mangoro,-17.4333,48.5833,2014-08-01,2014,8,August,Dry,16.56,1.21
Alaotra-Mangoro,-17.4333,48.5833,2014-09-01,2014,9,September,Dry,17.1,1.32
Alaotra-Mangoro,-17.4333,48.5833,2014-10-01,2014,10,October,Dry,20.93,1.09
Alaotra-Mangoro,-17.4333,48.5833,2014-11-01,2014,11,November,Rainy,21.51,5.07
Alaotra-Mangoro,-17.4333,48.5833,2014-12-01,2014,12,December,Rainy,22.86,7.0
Alaotra-Mangoro,-17.4333,48.5833,2015-01-01,2015,1,January,Rainy,22.44,15.33
Alaotra-Mangoro,-17.4333,48.5833,2015-02-01,2015,2,February,Rainy,21.55,15.84
Alaotra-Mangoro,-17.4333,48.5833,2015-03-01,2015,3,March,Rainy,21.08,11.99
Alaotra-Mangoro,-17.4333,48.5833,2015-04-01,2015,4,April,Rainy,20.68,1.76
Alaotra-Mangoro,-17.4333,48.5833,2015-05-01,2015,5,May,Dry,19.04,2.11
Alaotra-Mangoro,-17.4333,48.5833,2015-06-01,2015,6,June,Dry,17.66,3.36
Alaotra-Mangoro,-17.4333,48.5833,2015-07-01,2015,7,July,Dry,16.37,2.23
Alaotra-Mangoro,-17.4333,48.5833,2015-08-01,2015,8,August,Dry,16.3,2.11
Alaotra-Mangoro,-17.4333,48.5833,2015-09-01,2015,9,September,Dry,17.21,1.6
Alaotra-Mangoro,-17.4333,48.5833,2015-10-01,2015,10,October,Dry,19.11,4.77
Alaotra-Mangoro,-17.4333,48.5833,2015-11-01,2015,11,November,Rainy,20.48,3.48
Alaotra-Mangoro,-17.4333,48.5833,2015-12-01,2015,12,December,Rainy,22.5,10.48
Alaotra-Mangoro,-17.4333,48.5833,2016-01-01,2016,1,January,Rainy,22.08,13.81
Alaotra-Mangoro,-17.4333,48.5833,2016-02-01,2016,2,February,Rainy,22.36,9.12
Alaotra-Mangoro,-17.4333,48.5833,2016-03-01,2016,3,March,Rainy,22.38,11.14
Alaotra-Mangoro,-17.4333,48.5833,2016-04-01,2016,4,April,Rainy,20.58,3.11
Alaotra-Mangoro,-17.4333,48.5833,2016-05-01,2016,5,May,Dry,17.76,4.05
Alaotra-Mangoro,-17.4333,48.5833,2016-06-01,2016,6,June,Dry,16.43,3.47
Alaotra-Mangoro,-17.4333,48.5833,2016-07-01,2016,7,July,Dry,15.41,2.94
Alaotra-Mangoro,-17.4333,48.5833,2016-08-01,2016,8,August,Dry,16.2,1.7
Alaotra-Mangoro,-17.4333,48.5833,2016-09-01,2016,9,September,Dry,16.41,1.51
Alaotra-Mangoro,-17.4333,48.5833,2016-10-01,2016,10,October,Dry,19.27,1.02
Alaotra-Mangoro,-17.4333,48.5833,2016-11-01,2016,11,November,Rainy,20.39,2.44
Alaotra-Mangoro,-17.4333,48.5833,2016-12-01,2016,12,December,Rainy,21.25,5.03
Alaotra-Mangoro,-17.4333,48.5833,2017-01-01,2017,1,January,Rainy,21.6,4.13
Alaotra-Mangoro,-17.4333,48.5833,2017-02-01,2017,2,February,Rainy,22.61,6.78
Alaotra-Mangoro,-17.4333,48.5833,2017-03-01,2017,3,March,Rainy,22.05,17.58
Alaotra-Mangoro,-17.4333,48.5833,2017-04-01,2017,4,April,Rainy,20.81,4.69
Alaotra-Mangoro,-17.4333,48.5833,2017-05-01,2017,5,May,Dry,19.11,4.52
Alaotra-Mangoro,-17.4333,48.5833,2017-06-01,2017,6,June,Dry,17.71,3.48
Alaotra-Mangoro,-17.4333,48.5833,2017-07-01,2017,7,July,Dry,16.44,3.86
Alaotra-Mangoro,-17.4333,48.5833,2017-08-01,2017,8,August,Dry,16.59,2.83
Alaotra-Mangoro,-17.4333,48.5833,2017-09-01,2017,9,September,Dry,17.67,0.48
Alaotra-Mangoro,-17.4333,48.5833,2017-10-01,2017,10,October,Dry,19.69,3.66
Alaotra-Mangoro,-17.4333,48.5833,2017-11-01,2017,11,November,Rainy,20.9,8.33
Alaotra-Mangoro,-17.4333,48.5833,2017-12-01,2017,12,December,Rainy,21.85,11.24
Alaotra-Mangoro,-17.4333,48.5833,2018-01-01,2018,1,January,Rainy,22.01,15.88
Alaotra-Mangoro,-17.4333,48.5833,2018-02-01,2018,2,February,Rainy,22.1,13.33
Alaotra-Mangoro,-17.4333,48.5833,2018-03-01,2018,3,March,Rainy,21.63,16.48
Alaotra-Mangoro,-17.4333,48.5833,2018-04-01,2018,4,April,Rainy,20.18,5.01
Alaotra-Mangoro,-17.4333,48.5833,2018-05-01,2018,5,May,Dry,18.99,3.21
Alaotra-Mangoro,-17.4333,48.5833,2018-06-01,2018,6,June,Dry,17.17,2.6
Alaotra-Mangoro,-17.4333,48.5833,2018-07-01,2018,7,July,Dry,15.78,5.04
Alaotra-Mangoro,-17.4333,48.5833,2018-08-01,2018,8,August,Dry,16.69,1.15
Alaotra-Mangoro,-17.4333,48.5833,2018-09-01,2018,9,September,Dry,17.64,1.38
Alaotra-Mangoro,-17.4333,48.5833,2018-10-01,2018,10,October,Dry,19.24,1.55
Alaotra-Mangoro,-17.4333,48.5833,2018-11-01,2018,11,November,Rainy,21.16,3.65
Alaotra-Mangoro,-17.4333,48.5833,2018-12-01,2018,12,December,Rainy,22.13,5.58
Alaotra-Mangoro,-17.4333,48.5833,2019-01-01,2019,1,January,Rainy,22.54,16.62
Alaotra-Mangoro,-17.4333,48.5833,2019-02-01,2019,2,February,Rainy,22.23,7.75
Alaotra-Mangoro,-17.4333,48.5833,2019-03-01,2019,3,March,Rainy,22.38,8.79
Alaotra-Mangoro,-17.4333,48.5833,2019-04-01,2019,4,April,Rainy,21.65,7.13
Alaotra-Mangoro,-17.4333,48.5833,2019-05-01,2019,5,May,Dry,19.3,4.78
Alaotra-Mangoro,-17.4333,48.5833,2019-06-01,2019,6,June,Dry,17.54,3.87
Alaotra-Mangoro,-17.4333,48.5833,2019-07-01,2019,7,July,Dry,16.67,2.08
Alaotra-Mangoro,-17.4333,48.5833,2019-08-01,2019,8,August,Dry,16.74,1.08
Alaotra-Mangoro,-17.4333,48.5833,2019-09-01,2019,9,September,Dry,18.03,1.88
Alaotra-Mangoro,-17.4333,48.5833,2019-10-01,2019,10,October,Dry,20.03,1.61
Alaotra-Mangoro,-17.4333,48.5833,2019-11-01,2019,11,November,Rainy,21.77,7.75
Alaotra-Mangoro,-17.4333,48.5833,2019-12-01,2019,12,December,Rainy,22.77,7.5
Alaotra-Mangoro,-17.4333,48.5833,2020-01-01,2020,1,January,Rainy,22.2,18.96
Alaotra-Mangoro,-17.4333,48.5833,2020-02-01,2020,2,February,Rainy,21.89,12.39
Alaotra-Mangoro,-17.4333,48.5833,2020-03-01,2020,3,March,Rainy,22.14,6.99
Alaotra-Mangoro,-17.4333,48.5833,2020-04-01,2020,4,April,Rainy,20.35,11.19
Alaotra-Mangoro,-17.4333,48.5833,2020-05-01,2020,5,May,Dry,18.81,2.96
Alaotra-Mangoro,-17.4333,48.5833,2020-06-01,2020,6,June,Dry,16.78,3.47
Alaotra-Mangoro,-17.4333,48.5833,2020-07-01,2020,7,July,Dry,15.78,2.94
Alaotra-Mangoro,-17.4333,48.5833,2020-08-01,2020,8,August,Dry,15.89,1.21
Alaotra-Mangoro,-17.4333,48.5833,2020-09-01,2020,9,September,Dry,17.04,2.96
Alaotra-Mangoro,-17.4333,48.5833,2020-10-01,2020,10,October,Dry,19.79,3.74
Alaotra-Mangoro,-17.4333,48.5833,2020-11-01,2020,11,November,Rainy,20.22,2.16
Alaotra-Mangoro,-17.4333,48.5833,2020-12-01,2020,12,December,Rainy,21.64,18.95
Alaotra-Mangoro,-17.4333,48.5833,2021-01-01,2021,1,January,Rainy,22.53,5.45
Alaotra-Mangoro,-17.4333,48.5833,2021-02-01,2021,2,February,Rainy,22.08,8.87
Alaotra-Mangoro,-17.4333,48.5833,2021-03-01,2021,3,March,Rainy,22.08,7.68
Alaotra-Mangoro,-17.4333,48.5833,2021-04-01,2021,4,April,Rainy,20.52,8.94
Alaotra-Mangoro,-17.4333,48.5833,2021-05-01,2021,5,May,Dry,19.0,1.97
Alaotra-Mangoro,-17.4333,48.5833,2021-06-01,2021,6,June,Dry,16.75,2.79
Alaotra-Mangoro,-17.4333,48.5833,2021-07-01,2021,7,July,Dry,16.12,5.03
Alaotra-Mangoro,-17.4333,48.5833,2021-08-01,2021,8,August,Dry,16.5,2.42
Alaotra-Mangoro,-17.4333,48.5833,2021-09-01,2021,9,September,Dry,17.13,1.64
Alaotra-Mangoro,-17.4333,48.5833,2021-10-01,2021,10,October,Dry,19.13,2.87
Alaotra-Mangoro,-17.4333,48.5833,2021-11-01,2021,11,November,Rainy,21.53,2.36
Alaotra-Mangoro,-17.4333,48.5833,2021-12-01,2021,12,December,Rainy,22.01,6.75
Alaotra-Mangoro,-17.4333,48.5833,2022-01-01,2022,1,January,Rainy,22.19,23.44
Alaotra-Mangoro,-17.4333,48.5833,2022-02-01,2022,2,February,Rainy,22.3,9.89
Alaotra-Mangoro,-17.4333,48.5833,2022-03-01,2022,3,March,Rainy,22.02,11.67
Alaotra-Mangoro,-17.4333,48.5833,2022-04-01,2022,4,April,Rainy,20.66,5.86
Alaotra-Mangoro,-17.4333,48.5833,2022-05-01,2022,5,May,Dry,18.66,2.88
Alaotra-Mangoro,-17.4333,48.5833,2022-06-01,2022,6,June,Dry,16.51,2.36
Alaotra-Mangoro,-17.4333,48.5833,2022-07-01,2022,7,July,Dry,15.68,3.38
Alaotra-Mangoro,-17.4333,48.5833,2022-08-01,2022,8,August,Dry,16.0,1.21
Alaotra-Mangoro,-17.4333,48.5833,2022-09-01,2022,9,September,Dry,16.34,1.64
Alaotra-Mangoro,-17.4333,48.5833,2022-10-01,2022,10,October,Dry,17.86,0.94
Alaotra-Mangoro,-17.4333,48.5833,2022-11-01,2022,11,November,Rainy,20.42,1.6
Alaotra-Mangoro,-17.4333,48.5833,2022-12-01,2022,12,December,Rainy,21.41,5.83
Alaotra-Mangoro,-17.4333,48.5833,2023-01-01,2023,1,January,Rainy,21.85,17.08
Alaotra-Mangoro,-17.4333,48.5833,2023-02-01,2023,2,February,Rainy,21.7,6.63
Alaotra-Mangoro,-17.4333,48.5833,2023-03-01,2023,3,March,Rainy,22.0,6.74
Alaotra-Mangoro,-17.4333,48.5833,2023-04-01,2023,4,April,Rainy,21.01,6.2
Alaotra-Mangoro,-17.4333,48.5833,2023-05-01,2023,5,May,Dry,19.88,4.18
Alaotra-Mangoro,-17.4333,48.5833,2023-06-01,2023,6,June,Dry,17.24,1.78
Alaotra-Mangoro,-17.4333,48.5833,2023-07-01,2023,7,July,Dry,16.74,2.34
Alaotra-Mangoro,-17.4333,48.5833,2023-08-01,2023,8,August,Dry,17.7,3.7
Alaotra-Mangoro,-17.4333,48.5833,2023-09-01,2023,9,September,Dry,17.95,2.43
Alaotra-Mangoro,-17.4333,48.5833,2023-10-01,2023,10,October,Dry,21.18,2.76
Alaotra-Mangoro,-17.4333,48.5833,2023-11-01,2023,11,November,Rainy,21.39,5.05
Alaotra-Mangoro,-17.4333,48.5833,2023-12-01,2023,12,December,Rainy,23.06,3.32
Alaotra-Mangoro,-17.4333,48.5833,2024-01-01,2024,1,January,Rainy,23.0,13.76
Alaotra-Mangoro,-17.4333,48.5833,2024-02-01,2024,2,February,Rainy,22.74,17.25
Alaotra-Mangoro,-17.4333,48.5833,2024-03-01,2024,3,March,Rainy,21.99,12.14
Alaotra-Mangoro,-17.4333,48.5833,2024-04-01,2024,4,April,Rainy,21.74,6.7
Alaotra-Mangoro,-17.4333,48.5833,2024-05-01,2024,5,May,Dry,18.67,5.02
Alaotra-Mangoro,-17.4333,48.5833,2024-06-01,2024,6,June,Dry,17.48,2.13
Alaotra-Mangoro,-17.4333,48.5833,2024-07-01,2024,7,July,Dry,16.51,0.45
Alaotra-Mangoro,-17.4333,48.5833,2024-08-01,2024,8,August,Dry,16.38,2.06
Alaotra-Mangoro,-17.4333,48.5833,2024-09-01,2024,9,September,Dry,18.09,0.85
Alaotra-Mangoro,-17.4333,48.5833,2024-10-01,2024,10,October,Dry,19.56,1.3
Alaotra-Mangoro,-17.4333,48.5833,2024-11-01,2024,11,November,Rainy,21.59,3.69
Alaotra-Mangoro,-17.4333,48.5833,2024-12-01,2024,12,December,Rainy,22.0,3.72
Amoron'i Mania,-20.2833,47.2833,2005-01-01,2005,1,January,Rainy,20.69,10.88
Amoron'i Mania,-20.2833,47.2833,2005-02-01,2005,2,February,Rainy,20.6,11.8
Amoron'i Mania,-20.2833,47.2833,2005-03-01,2005,3,March,Rainy,19.78,11.56
Amoron'i Mania,-20.2833,47.2833,2005-04-01,2005,4,April,Rainy,18.41,4.44
Amoron'i Mania,-20.2833,47.2833,2005-05-01,2005,5,May,Dry,16.17,8.04
Amoron'i Mania,-20.2833,47.2833,2005-06-01,2005,6,June,Dry,14.34,3.53
Amoron'i Mania,-20.2833,47.2833,2005-07-01,2005,7,July,Dry,13.01,5.13
Amoron'i Mania,-20.2833,47.2833,2005-08-01,2005,8,August,Dry,13.14,2.6
Amoron'i Mania,-20.2833,47.2833,2005-09-01,2005,9,September,Dry,14.46,2.86
Amoron'i Mania,-20.2833,47.2833,2005-10-01,2005,10,October,Dry,16.73,1.5
Amoron'i Mania,-20.2833,47.2833,2005-11-01,2005,11,November,Rainy,18.86,5.51
Amoron'i Mania,-20.2833,47.2833,2005-12-01,2005,12,December,Rainy,20.4,21.79
Amoron'i Mania,-20.2833,47.2833,2006-01-01,2006,1,January,Rainy,19.68,6.63
Amoron'i Mania,-20.2833,47.2833,2006-02-01,2006,2,February,Rainy,19.91,6.59
Amoron'i Mania,-20.2833,47.2833,2006-03-01,2006,3,March,Rainy,19.77,10.52
Amoron'i Mania,-20.2833,47.2833,2006-04-01,2006,4,April,Rainy,18.41,3.52
Amoron'i Mania,-20.2833,47.2833,2006-05-01,2006,5,May,Dry,16.5,0.89
Amoron'i Mania,-20.2833,47.2833,2006-06-01,2006,6,June,Dry,14.81,2.19
Amoron'i Mania,-20.2833,47.2833,2006-07-01,2006,7,July,Dry,13.61,3.78
Amoron'i Mania,-20.2833,47.2833,2006-08-01,2006,8,August,Dry,13.94,1.39
Amoron'i Mania,-20.2833,47.2833,2006-09-01,2006,9,September,Dry,14.84,1.26
Amoron'i Mania,-20.2833,47.2833,2006-10-01,2006,10,October,Dry,16.92,1.64
Amoron'i Mania,-20.2833,47.2833,2006-11-01,2006,11,November,Rainy,19.56,9.78
Amoron'i Mania,-20.2833,47.2833,2006-12-01,2006,12,December,Rainy,19.97,17.33
Amoron'i Mania,-20.2833,47.2833,2007-01-01,2007,1,January,Rainy,20.16,27.33
Amoron'i Mania,-20.2833,47.2833,2007-02-01,2007,2,February,Rainy,20.39,18.6
Amoron'i Mania,-20.2833,47.2833,2007-03-01,2007,3,March,Rainy,19.54,4.58
Amoron'i Mania,-20.2833,47.2833,2007-04-01,2007,4,April,Rainy,18.46,5.98
Amoron'i Mania,-20.2833,47.2833,2007-05-01,2007,5,May,Dry,16.72,1.63
Amoron'i Mania,-20.2833,47.2833,2007-06-01,2007,6,June,Dry,13.69,0.72
Amoron'i Mania,-20.2833,47.2833,2007-07-01,2007,7,July,Dry,13.62,0.75
Amoron'i Mania,-20.2833,47.2833,2007-08-01,2007,8,August,Dry,13.81,0.45
Amoron'i Mania,-20.2833,47.2833,2007-09-01,2007,9,September,Dry,15.31,1.87
Amoron'i Mania,-20.2833,47.2833,2007-10-01,2007,10,October,Dry,16.91,2.19
Amoron'i Mania,-20.2833,47.2833,2007-11-01,2007,11,November,Rainy,19.5,9.18
Amoron'i Mania,-20.2833,47.2833,2007-12-01,2007,12,December,Rainy,19.97,9.83
Amoron'i Mania,-20.2833,47.2833,2008-01-01,2008,1,January,Rainy,20.46,9.99
Amoron'i Mania,-20.2833,47.2833,2008-02-01,2008,2,February,Rainy,19.65,13.83
Amoron'i Mania,-20.2833,47.2833,2008-03-01,2008,3,March,Rainy,18.55,4.09
Amoron'i Mania,-20.2833,47.2833,2008-04-01,2008,4,April,Rainy,18.54,1.19
Amoron'i Mania,-20.2833,47.2833,2008-05-01,2008,5,May,Dry,15.35,1.11
Amoron'i Mania,-20.2833,47.2833,2008-06-01,2008,6,June,Dry,13.41,0.86
